# _raj2000,SDSS,_dej2000
41.93704,J024744.89+002450.9,0.41416
318.04773,J211211.45-001531.3,-0.25869
42.03277,J024807.86-004508.2,-0.7523
42.16122,J024838.69-001617.5,-0.27152
42.21166,J024850.80-004602.6,-0.76739
42.36645,J024927.94-005222.7,-0.87299
42.41651,J024939.96-000411.5,-0.06986
42.42038,J024940.89-003124.0,-0.52333
42.45554,J024949.33-004736.6,-0.79351
42.47333,J024953.60-010013.0,-1.00363
317.44665,J210947.19+002141.0,0.36139
42.57024,J025016.85+000531.1,0.092
42.60188,J025024.45+010450.7,1.08078
42.63962,J025033.51-004012.2,-0.67009
42.73142,J025055.54+002200.8,0.3669
42.73941,J025057.46+002209.8,0.3694
42.89633,J025135.12-004401.5,-0.73377
42.97745,J025154.58+003953.3,0.66481
316.97528,J210754.06+000749.7,0.13049
43.08174,J025219.62+003322.1,0.55614
316.59036,J210621.68-004616.3,-0.77121
43.71055,J025450.53+010326.9,1.0575
43.76331,J025503.19-011122.0,-1.18946
316.18698,J210444.87-001256.8,-0.2158
316.06641,J210415.93-001907.6,-0.3188
43.98857,J025557.25+004133.3,0.69261
315.92276,J210341.46+005539.9,0.92776
44.0918,J025622.03-000912.0,-0.15333
44.11304,J025627.13+005232.7,0.87575
44.2936,J025710.46-005020.8,-0.83913
315.65744,J210237.78+000602.6,0.10073
315.56479,J210215.54+010801.1,1.13366
315.49176,J210158.02+010744.2,1.12895
315.47494,J210153.98-001816.8,-0.30468
44.60191,J025824.45+003815.2,0.63756
315.28229,J210107.74-001142.6,-0.19518
45.27328,J030105.58+004521.5,0.75599
314.57724,J205818.53+010106.3,1.01841
45.47584,J030154.20+005148.9,0.86359
314.48563,J205756.55+010432.6,1.07575
45.59815,J030223.55+005845.5,0.97931
45.72834,J030254.80+002006.2,0.33508
45.89661,J030335.19+003637.1,0.61033
45.96024,J030350.45-001215.9,-0.20444
45.9753,J030354.07-011115.6,-1.18769
45.99089,J030357.81+002602.1,0.43394
46.02846,J030406.83+002419.7,0.40548
